info_type,url
misinformation,https://www.instagram.com/tv/CR1FPYGASOn/?utm_source=ig_web_copy_link
misinformation,https://www.instagram.com/tv/CRB7PpRFQlV/?utm_source=ig_embed&ig_rid=b0fec710-909b-4042-ac55-56176f72fb2d
misinformation,https://www.instagram.com/tv/CRC4FJ9goj0/embed/captioned/
misinformation,https://www.naturalnews.com/2021-07-14-spanish-study-pfizer-vaccine-toxic-graphene-oxide.html
misinformation,https://www.redvoicemedia.com/2021/07/breaking-discovery-the-actual-contents-inside-pfizer-vials-exposed/
misinformation,https://www.tiktok.com/@yungjudah395/video/7016490354312580358
misinformation,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/viewer.html?pdfurl=https%3A%2F%2Fdiario16.com%2Fwp-content%2Fuploads%2F2021%2F07%2FMICROSCOPIA_DE_VIAL_CORMINATY_DR_CAMPRA_FIRMA_E_1_HORIZONTAL.pdf
misinformation,https://www.docdroid.net/TOPBZJY/microscopia-de-vial-corminaty-dr-campra-firma-e-1-horizontal-pdf
misinformation,https://www.facebook.com/permalink.php?story_fbid=2671862746454225&id=100008915768126
misinformation,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/viewer.html?pdfurl=https%3A%2F%2Fwww.eldiestro.es%2Fwp-content%2Fuploads%2F2021%2F06%2FMICROSCOPIA_DE_VIAL_CORMINATY_DR_CAMPRA_FIRMA_E_1_fusionado.pdf&clen=9163636&chunk=true
misinformation,https://www.orwell.city/2021/07/graphene-oxide-in-astrazeneca-vaccination-vial.html
